33535;1;DeviceManual;"ns=3;s=DeviceManual";12;;Objects/DeviceSet/PLC_PE
33536;1;DeviceRevision;"ns=3;s=DeviceRevision";12;;Objects/DeviceSet/PLC_PE
33537;1;EngineeringRevision;"ns=3;s=EngineeringRevision";12;;Objects/DeviceSet/PLC_PE
33538;1;HardwareRevision;"ns=3;s=HardwareRevision";12;;Objects/DeviceSet/PLC_PE
33539;1;Manufacturer;"ns=3;s=Manufacturer";21;;Objects/DeviceSet/PLC_PE
33540;1;Model;"ns=3;s=Model";21;;Objects/DeviceSet/PLC_PE
33541;1;OperatingMode;"ns=3;s=OperatingMode";6;;Objects/DeviceSet/PLC_PE
33542;1;OrderNumber;"ns=3;s=OrderNumber";12;;Objects/DeviceSet/PLC_PE
33543;1;RevisionCounter;"ns=3;s=RevisionCounter";6;;Objects/DeviceSet/PLC_PE
33544;1;SerialNumber;"ns=3;s=SerialNumber";12;;Objects/DeviceSet/PLC_PE
33545;1;SoftwareRevision;"ns=3;s=SoftwareRevision";12;;Objects/DeviceSet/PLC_PE
33546;1;Icon;"ns=3;i=5201";15;;Objects/DeviceSet/PLC_PE
33547;1;Icon;"ns=3;i=5204";15;;Objects/DeviceSet/PLC_PE/Counters
33548;1;Icon;"ns=3;i=5202";15;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal
33549;1;Ack;"ns=3;s=""LmyGlobalData"".""Ack""";1;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/LmyGlobalData
33550;1;SimOn;"ns=3;s=""LmyGlobalData"".""SimOn""";1;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/LmyGlobalData
33551;1;CyclingTime;"ns=3;s=""LmyGlobalData"".""CyclingTime""";10;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/LmyGlobalData
33552;1;SysDT;"ns=3;s=""LmyGlobalData"".""SysDT""";22;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/LmyGlobalData
33553;1;TT1_Max;"ns=3;s=""Flake_Sen_DB"".""TT1_Max""";10;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/Flake_Sen_DB
33554;1;VT1_Max;"ns=3;s=""Flake_Sen_DB"".""VT1_Max""";10;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/Flake_Sen_DB
33555;1;Ack1;"ns=3;s=""Flake_Sen_DB"".""Ack1""";1;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/Flake_Sen_DB
33556;1;TT2_Max;"ns=3;s=""Flake_Sen_DB"".""TT2_Max""";10;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/Flake_Sen_DB
33557;1;VT2_Max;"ns=3;s=""Flake_Sen_DB"".""VT2_Max""";10;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/Flake_Sen_DB
33558;1;TT3_Max;"ns=3;s=""Flake_Sen_DB"".""TT3_Max""";10;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/Flake_Sen_DB
33559;1;VT3_Max;"ns=3;s=""Flake_Sen_DB"".""VT3_Max""";10;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/Flake_Sen_DB
33560;1;TT4_Max;"ns=3;s=""Flake_Sen_DB"".""TT4_Max""";10;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/Flake_Sen_DB
33561;1;VT4_Max;"ns=3;s=""Flake_Sen_DB"".""VT4_Max""";10;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/Flake_Sen_DB
33562;1;Ack2;"ns=3;s=""Flake_Sen_DB"".""Ack2""";1;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/Flake_Sen_DB
33563;1;Ack3;"ns=3;s=""Flake_Sen_DB"".""Ack3""";1;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/Flake_Sen_DB
33564;1;Ack4;"ns=3;s=""Flake_Sen_DB"".""Ack4""";1;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/Flake_Sen_DB
33565;1;Ack5;"ns=3;s=""Flake_Sen_DB"".""Ack5""";1;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/Flake_Sen_DB
33566;1;Ack6;"ns=3;s=""Flake_Sen_DB"".""Ack6""";1;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/Flake_Sen_DB
33567;1;Ack7;"ns=3;s=""Flake_Sen_DB"".""Ack7""";1;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/Flake_Sen_DB
33568;1;Ack8;"ns=3;s=""Flake_Sen_DB"".""Ack8""";1;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/Flake_Sen_DB
33569;1;State;"ns=3;s=""HmiGlobalDB"".""State""";22;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/HmiGlobalDB
33570;1;SampleTimeOB1;"ns=3;s=""HmiGlobalDB"".""SampleTimeOB1""";10;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/HmiGlobalDB
33571;1;OpCmd;"ns=3;s=""HmiGlobalDB"".""OpCmd""";22;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/HmiGlobalDB
33572;1;Count;"ns=3;s=""HmiGlobalDB"".""Count""";22;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/HmiGlobalDB
33573;1;UnAck_PRE;"ns=3;s=""MsgGrpState"".""UnAck_PRE""";1;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/MsgGrpState
33574;1;Alarm_PRE;"ns=3;s=""MsgGrpState"".""Alarm_PRE""";1;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/MsgGrpState
33575;1;State1;"ns=3;s=""MsgGrpState"".""State1""";7;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/MsgGrpState
33576;1;State2;"ns=3;s=""MsgGrpState"".""State2""";7;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/MsgGrpState
33577;1;UnAck_EXT;"ns=3;s=""MsgGrpState"".""UnAck_EXT""";1;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/MsgGrpState
33578;1;Alarm_EXT;"ns=3;s=""MsgGrpState"".""Alarm_EXT""";1;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/MsgGrpState
33579;1;PE_UA;"ns=3;s=""TS180_DB"".""PE_UA""";10;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/TS180_DB
33580;1;PE_UB;"ns=3;s=""TS180_DB"".""PE_UB""";10;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/TS180_DB
33581;1;PE_UC;"ns=3;s=""TS180_DB"".""PE_UC""";10;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/TS180_DB
33582;1;PE_UAB;"ns=3;s=""TS180_DB"".""PE_UAB""";10;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/TS180_DB
33583;1;PE_UBC;"ns=3;s=""TS180_DB"".""PE_UBC""";10;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/TS180_DB
33584;1;PE_UAC;"ns=3;s=""TS180_DB"".""PE_UAC""";10;;Objects/DeviceSet/PLC_PE/DataBlocksGlobal/TS180_DB
